"Nomor;Kode Prov;Nama Provinsi;Nama Kabupaten;Kode Kab/Kota;Tipe;Tahun;IKP;PERINGKAT KAB/KOTA;KELOMPOK IKP"
"97;18;Lampung;Lampung Barat;1804;Kabupaten;2018;77.43;110;6"
"98;18;Lampung;Tanggamus;1806;Kabupaten;2018;72.18;232;5"
"99;18;Lampung;Lampung Selatan;1801;Kabupaten;2018;70.76;256;5"
"100;18;Lampung;Lampung Timur;1807;Kabupaten;2018;73.63;199;5"
"101;18;Lampung;Lampung Tengah;1802;Kabupaten;2018;71.96;236;5"
"102;18;Lampung;Lampung Utara;1803;Kabupaten;2018;76.48;132;6"
"103;18;Lampung;Way Kanan;1808;Kabupaten;2018;78.24;90;6"
"104;18;Lampung;Tulang Bawang;1805;Kabupaten;2018;75.43;158;5"
"105;18;Lampung;Pesawaran;1809;Kabupaten;2018;72.54;225;5"
"106;18;Lampung;Pringsewu;1810;Kabupaten;2018;78.48;84;6"
"107;18;Lampung;Mesuji;1811;Kabupaten;2018;80.82;44;6"
"108;18;Lampung;Tulang Bawang Barat;1812;Kabupaten;2018;80.7;45;6"
"109;18;Lampung;Pesisir Barat;1813;Kabupaten;2018;67.99;286;5"
"446;18;Lampung;Kota Bandar Lampung;1871;Kota;2018;68.93;59;5"
"447;18;Lampung;Kota Metro;1872;Kota;2018;65.98;71;5"
"611;18;Lampung;Lampung Barat;1804;Kabupaten;2019;77.38;166;6"
"612;18;Lampung;Tanggamus;1806;Kabupaten;2019;71.35;265;5"
"613;18;Lampung;Lampung Selatan;1801;Kabupaten;2019;74.62;225;5"
"614;18;Lampung;Lampung Timur;1807;Kabupaten;2019;72.37;250;5"
"615;18;Lampung;Lampung Tengah;1802;Kabupaten;2019;76.55;188;6"
"616;18;Lampung;Lampung Utara;1803;Kabupaten;2019;78.99;129;6"
"617;18;Lampung;Way Kanan;1808;Kabupaten;2019;82.29;61;6"
"618;18;Lampung;Tulang Bawang;1805;Kabupaten;2019;78.88;136;6"
"619;18;Lampung;Pesawaran;1809;Kabupaten;2019;76.74;182;6"
"620;18;Lampung;Pringsewu;1810;Kabupaten;2019;83.13;44;6"
"621;18;Lampung;Mesuji;1811;Kabupaten;2019;81.78;69;6"
"622;18;Lampung;Tulang Bawang Barat;1812;Kabupaten;2019;79.28;121;6"
"623;18;Lampung;Pesisir Barat;1813;Kabupaten;2019;71.98;256;5"
"960;18;Lampung;Kota Bandar Lampung;1871;Kota;2019;73.49;58;6"
"961;18;Lampung;Kota Metro;1872;Kota;2019;75.85;49;6"
"1125;18;Lampung;Lampung Barat;1804;Kabupaten;2020;74.02;240;5"
"1126;18;Lampung;Tanggamus;1806;Kabupaten;2020;74.67;227;5"
"1127;18;Lampung;Lampung Selatan;1801;Kabupaten;2020;79.23;153;6"
"1128;18;Lampung;Lampung Timur;1807;Kabupaten;2020;79.5;148;6"
"1129;18;Lampung;Lampung Tengah;1802;Kabupaten;2020;79.83;140;6"
"1130;18;Lampung;Lampung Utara;1803;Kabupaten;2020;71.51;274;5"
"1131;18;Lampung;Way Kanan;1808;Kabupaten;2020;73.34;252;5"
"1132;18;Lampung;Tulang Bawang;1805;Kabupaten;2020;82.83;77;6"
"1133;18;Lampung;Pesawaran;1809;Kabupaten;2020;80.15;128;6"
"1134;18;Lampung;Pringsewu;1810;Kabupaten;2020;83.79;53;6"
"1135;18;Lampung;Mesuji;1811;Kabupaten;2020;83.66;57;6"
"1136;18;Lampung;Tulang Bawang Barat;1812;Kabupaten;2020;77.58;190;6"
"1137;18;Lampung;Pesisir Barat;1813;Kabupaten;2020;72.93;258;5"
"1474;18;Lampung;Kota Bandar Lampung;1871;Kota;2020;71.62;63;6"
"1475;18;Lampung;Kota Metro;1872;Kota;2020;76.76;51;6"
"1639;18;Lampung;Lampung Barat;1804;Kabupaten;2021;70.8;288;5"
"1640;18;Lampung;Tanggamus;1806;Kabupaten;2021;75.34;225;5"
"1641;18;Lampung;Lampung Selatan;1801;Kabupaten;2021;79.66;142;6"
"1642;18;Lampung;Lampung Timur;1807;Kabupaten;2021;81.2;104;6"
"1643;18;Lampung;Lampung Tengah;1802;Kabupaten;2021;80.16;129;6"
"1644;18;Lampung;Lampung Utara;1803;Kabupaten;2021;73;258;5"
"1645;18;Lampung;Way Kanan;1808;Kabupaten;2021;74.96;229;5"
"1646;18;Lampung;Tulang Bawang;1805;Kabupaten;2021;84.58;44;6"
"1647;18;Lampung;Pesawaran;1809;Kabupaten;2021;78.96;158;6"
"1648;18;Lampung;Pringsewu;1810;Kabupaten;2021;84.05;50;6"
"1649;18;Lampung;Mesuji;1811;Kabupaten;2021;85.6;23;6"
"1650;18;Lampung;Tulang Bawang Barat;1812;Kabupaten;2021;78.58;167;6"
"1651;18;Lampung;Pesisir Barat;1813;Kabupaten;2021;71.6;279;5"
"1988;18;Lampung;Kota Bandar Lampung;1871;Kota;2021;74.17;60;6"
"1989;18;Lampung;Kota Metro;1872;Kota;2021;76.74;54;6"
"2153;18;Lampung;Lampung Barat;1804;Kabupaten;2022;74.34;236;5"
"2154;18;Lampung;Tanggamus;1806;Kabupaten;2022;73.6;246;5"
"2155;18;Lampung;Lampung Selatan;1801;Kabupaten;2022;81.81;94;6"
"2156;18;Lampung;Lampung Timur;1807;Kabupaten;2022;82.78;79;6"
"2157;18;Lampung;Lampung Tengah;1802;Kabupaten;2022;81.07;108;6"
"2158;18;Lampung;Lampung Utara;1803;Kabupaten;2022;75;223;5"
"2159;18;Lampung;Way Kanan;1808;Kabupaten;2022;78.34;172;6"
"2160;18;Lampung;Tulang Bawang;1805;Kabupaten;2022;86.25;18;6"
"2161;18;Lampung;Pesawaran;1809;Kabupaten;2022;77.86;181;6"
"2162;18;Lampung;Pringsewu;1810;Kabupaten;2022;84.14;48;6"
"2163;18;Lampung;Mesuji;1811;Kabupaten;2022;85.62;28;6"
"2164;18;Lampung;Tulang Bawang Barat;1812;Kabupaten;2022;79.84;138;6"
"2165;18;Lampung;Pesisir Barat;1813;Kabupaten;2022;71.71;265;5"
"2502;18;Lampung;Kota Bandar Lampung;1871;Kota;2022;73.41;62;6"
"2503;18;Lampung;Kota Metro;1872;Kota;2022;73.35;64;6"
"2667;18;Lampung;Lampung Barat;1804;Kabupaten;2023;75.39;240;5"
"2668;18;Lampung;Tanggamus;1806;Kabupaten;2023;74.19;250;5"
"2669;18;Lampung;Lampung Selatan;1801;Kabupaten;2023;85.46;49;6"
"2670;18;Lampung;Lampung Timur;1807;Kabupaten;2023;83.55;88;6"
"2671;18;Lampung;Lampung Tengah;1802;Kabupaten;2023;84.55;66;6"
"2672;18;Lampung;Lampung Utara;1803;Kabupaten;2023;74.94;242;5"
"2673;18;Lampung;Way Kanan;1808;Kabupaten;2023;79.31;171;6"
"2674;18;Lampung;Tulang Bawang;1805;Kabupaten;2023;87.51;21;6"
"2675;18;Lampung;Pesawaran;1809;Kabupaten;2023;77.89;192;6"
"2676;18;Lampung;Pringsewu;1810;Kabupaten;2023;87.38;23;6"
"2677;18;Lampung;Mesuji;1811;Kabupaten;2023;86.21;38;6"
"2678;18;Lampung;Tulang Bawang Barat;1812;Kabupaten;2023;83.59;85;6"
"2679;18;Lampung;Pesisir Barat;1813;Kabupaten;2023;76.32;224;6"
"3016;18;Lampung;Kota Bandar Lampung;1871;Kota;2023;83.37;50;6"
"3017;18;Lampung;Kota Metro;1872;Kota;2023;83.66;49;6"
"3181;18;Lampung;Lampung Barat;1804;Kabupaten;2024;76.18;#N/A;6"
"3182;18;Lampung;Tanggamus;1806;Kabupaten;2024;76.4;#N/A;6"
"3183;18;Lampung;Lampung Selatan;1801;Kabupaten;2024;84.46;#N/A;6"
"3184;18;Lampung;Lampung Timur;1807;Kabupaten;2024;85.22;#N/A;6"
"3185;18;Lampung;Lampung Tengah;1802;Kabupaten;2024;84.93;#N/A;6"
"3186;18;Lampung;Lampung Utara;1803;Kabupaten;2024;76.82;#N/A;6"
"3187;18;Lampung;Way Kanan;1808;Kabupaten;2024;79.61;#N/A;6"
"3188;18;Lampung;Tulang Bawang;1805;Kabupaten;2024;88.78;#N/A;6"
"3189;18;Lampung;Pesawaran;1809;Kabupaten;2024;80.85;#N/A;6"
"3190;18;Lampung;Pringsewu;1810;Kabupaten;2024;87.35;#N/A;6"
"3191;18;Lampung;Mesuji;1811;Kabupaten;2024;88.18;#N/A;6"
"3192;18;Lampung;Tulang Bawang Barat;1812;Kabupaten;2024;83.74;#N/A;6"
"3193;18;Lampung;Pesisir Barat;1813;Kabupaten;2024;75.77;#N/A;6"
"3530;18;Lampung;Kota Bandar Lampung;1871;Kota;2024;84.64;#N/A;6"
"3531;18;Lampung;Kota Metro;1872;Kota;2024;85.78;#N/A;6"
